,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Gravdal,75,NO,65,68.1214,13.5031,39.09,18.41
1,Betare Oya,25,CM,16,5.6,14.0833,92.14,7.11
2,Mumford,100,GH,57,5.2618,-0.759,83.64,9.26
3,Lagoa,100,PT,87,39.05,-27.9833,59.94,26.04
4,Cape Town,0,ZA,51,-33.9258,18.4232,78.91,8.05
5,Bosaso,56,SO,71,11.2842,49.1816,76.48,5.35
6,Mabaruma,87,GY,91,8.2,-59.7833,77.32,4.85
7,Nikolskoye,100,RU,94,59.7035,30.7861,26.49,9.42
8,Kapaa,75,US,93,22.0752,-159.319,75.52,8.05
9,Tahta,0,EG,37,26.7693,31.5021,64.87,10.71
10,Bluff,41,NZ,91,-46.6,168.3333,52.32,4.07
11,Ballina,32,AU,95,-28.8667,153.5667,67.01,7.61
12,Albany,23,US,62,42.6001,-73.9662,27.03,1.99
13,Saint-Philippe,49,RE,81,-21.3585,55.7679,80.19,12.57
14,Ushuaia,75,AR,81,-54.8,-68.3,46.02,21.85
15,Upernavik,100,GL,69,72.7868,-56.1549,-2.18,6.04
16,Avarua,20,CK,88,-21.2078,-159.775,73.45,7.67
17,Severo-Kurilsk,68,RU,79,50.6789,156.125,31.32,21.09
18,Luderitz,0,NA,54,-26.6481,15.1594,73.13,25.43
19,Vila Velha,75,BR,87,-20.3297,-40.2925,80.55,10.36
20,Castro,72,BR,67,-24.7911,-50.0119,76.08,5.39
21,Muravlenko,96,RU,95,63.7898,74.523,1.06,10.27
22,Bengkulu,100,ID,82,-3.8004,102.2655,77.94,2.24
23,Yaan,6,NG,14,7.3833,8.5667,95.23,9.33
24,New Norfolk,0,AU,66,-42.7826,147.0587,72.9,3.31
25,Sobolevo,100,RU,98,54.4299,31.8996,30.65,5.08
26,East London,0,ZA,65,-33.0153,27.9116,81.54,14.97
27,Ribeira Grande,75,PT,88,38.5167,-28.7,61.77,15.01
28,Ust-Maya,100,RU,99,60.4167,134.5333,-30.08,0.87
29,Camana,68,PE,77,-16.6228,-72.7111,74.79,11.43
30,Tasiilaq,0,GL,56,65.6145,-37.6368,3.36,4.54
31,Hualmay,74,PE,74,-11.0964,-77.6139,72.64,7.31
32,Puerto Ayora,75,EC,89,-0.7393,-90.3518,78.76,3.0
33,Uvira,94,CD,80,-3.4067,29.1458,76.89,5.82
34,Sovetskiy,6,RU,95,61.3614,63.5842,1.02,4.47
35,Hermanus,55,ZA,67,-34.4187,19.2345,71.8,13.71
36,San Luis,0,AR,26,-33.295,-66.3356,82.06,8.34
37,Vaini,20,TO,94,-21.2,-175.2,75.36,1.14
38,Sept-Iles,75,CA,74,50.2001,-66.3821,12.06,8.05
39,Rikitea,8,PF,75,-23.1203,-134.9692,76.95,8.03
40,Atar,77,MR,15,20.5169,-13.0499,81.09,12.46
41,Solnechnyy,82,RU,98,50.7214,136.6319,1.74,2.73
42,Jamestown,100,US,92,42.097,-79.2353,22.59,10.36
43,Souillac,40,MU,65,-20.5167,57.5167,80.98,9.22
44,Busselton,0,AU,65,-33.65,115.3333,56.35,14.61
45,Biltine,0,TD,13,14.5333,20.9167,80.19,16.11
46,Punta Arenas,75,CL,68,-53.15,-70.9167,50.02,33.38
47,Tiznit,0,MA,20,29.5833,-9.5,69.96,15.26
48,Saskylakh,43,RU,100,71.9167,114.0833,-39.64,1.54
49,Airai,100,TL,93,-8.9266,125.4092,61.14,2.33
50,Tiksi,99,RU,100,71.6872,128.8694,-20.65,7.0
51,Kodiak,100,US,75,57.79,-152.4072,35.11,9.22
52,Kruisfontein,3,ZA,57,-34.0033,24.7314,79.88,20.18
53,Haukipudas,97,FI,90,65.1765,25.3523,21.25,13.13
54,Touros,43,BR,53,-5.1989,-35.4608,86.94,15.88
55,Paamiut,99,GL,83,61.994,-49.6678,26.71,10.0
56,Yellowknife,75,CA,84,62.456,-114.3525,-8.45,16.11
57,Butaritari,24,KI,82,3.0707,172.7902,79.88,16.26
58,Dunedin,80,NZ,88,-45.8742,170.5036,58.8,5.99
59,Port Alfred,1,ZA,77,-33.5906,26.891,75.18,5.01
60,Do Gonbadan,75,IR,62,30.3586,50.7981,53.69,6.91
61,Labuhan,100,ID,82,-6.8844,112.2051,78.3,7.78
62,Kalianget,100,ID,86,-7.05,113.9333,78.19,10.13
63,Beni,100,CD,62,0.5,29.4667,75.18,1.97
64,Dimona,89,IL,64,31.0667,35.0333,54.01,8.16
65,Cherskiy,100,RU,99,68.75,161.3,-8.77,5.57
66,Husavik,100,IS,92,66.0449,-17.3389,17.24,9.62
67,Kahului,0,US,88,20.8947,-156.47,75.85,8.99
68,Kavieng,97,PG,72,-2.5744,150.7967,82.53,8.75
69,Hilo,75,US,76,19.7297,-155.09,75.27,8.05
70,San Jose,100,US,91,37.3394,-121.895,59.74,10.36
71,Jawhar,4,SO,56,2.7809,45.5005,81.55,18.97
72,Yenagoa,6,NG,20,4.9247,6.2642,98.42,3.29
73,Pafos,0,CY,45,34.7667,32.4167,62.38,2.3
74,Fortuna,100,US,83,40.5982,-124.1573,55.92,8.05
75,Bredasdorp,51,ZA,41,-34.5322,20.0403,76.05,17.29
76,Atuona,95,PF,79,-9.8,-139.0333,77.04,13.33
77,Saint-Augustin,97,CA,81,51.226,-58.6502,16.72,10.45
78,Provideniya,2,RU,75,64.3833,-173.3,1.94,11.34
79,Umm Lajj,0,SA,36,25.0213,37.2685,70.81,15.61
80,Ust-Nera,72,RU,100,64.5667,143.2,-34.1,5.12
81,Dakoro,6,NE,13,14.5106,6.765,82.24,19.01
82,Mataura,83,NZ,97,-46.1927,168.8643,51.22,2.46
83,Placido De Castro,9,BR,48,-10.3353,-67.1856,89.1,4.61
84,Hobart,0,AU,53,-42.8794,147.3294,73.26,6.91
85,Ostrovnoy,100,RU,88,68.0531,39.5131,17.91,29.37
86,Homer,100,US,93,59.6425,-151.5483,36.77,0.0
